0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:17 +0900] "GET /shopping22/admin/userManage/userList.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:17 +0900] "GET /shopping22/admin/orderManage/orderList.jsp HTTP/1.1" 200 5053
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:18 +0900] "GET /shopping22/admin/orderManage/orderList.jsp HTTP/1.1" 200 5053
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:19 +0900] "GET /shopping22/admin/productManage/prodList.jsp HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:20 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:20 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:20 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:38:23 +0900] "GET /shop/member.html?type=mynewmain HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:39:53 +0900] "GET /shopping22/user/main.jsp HTTP/1.1" 200 13737
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:39:53 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:00 +0900] "GET /shopping22/user/showLargeCategory.jsp?lcno=7 HTTP/1.1" 200 13387
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:00 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:03 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:03 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:03 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
